5	1622	-1
5	2486	1
5	105325	-1
5	116163	-1
5	3372	1
5	13248	1
5	67746	-1
5	126254	1
5	1495	1
5	5054	1
5	107304	-1
5	27208	1
5	11445	1
5	16995	-1
5	3762	1
5	125693	-1
5	3144	-1
5	119490	-1
5	264	-1
5	4640	1
5	16733	-1
5	4561	-1
5	16992	-1
5	24138	-1
5	122027	-1
5	100658	-1
5	118260	-1
5	97335	-1
5	21286	-1
5	117107	-1
5	115868	-1
5	24135	1
5	2842	1
5	1491	-1
5	17359	1
5	4232	1
5	1005	-1
5	130538	1
5	4820	1
5	27254	1
5	15285	1
5	114299	-1
5	8968	1
5	17391	-1
5	819	-1
5	1466	1
5	6836	1
5	9282	1
5	5157	-1
5	1331	1
5	4948	1
5	57084	-1
5	115080	-1
5	17394	1
5	125479	-1
5	115355	1
5	123046	-1
5	16993	1
5	10428	-1
5	109126	1
5	11751	-1
5	1287	1
5	9698	-1
5	3763	1
5	4874	1
5	5773	1
5	128454	-1
5	114530	-1
32776	8169	1
32776	23599	-1
131079	1037	1
18	3205	-1
18	11521	1
18	15186	-1
18	2263	1
18	155	-1
20	1345	1
20	10862	1
20	3103	1
20	483	1
20	6945	1
20	1614	1
20	20759	1
20	2955	1
20	15737	1
20	14767	1
20	10197	1
20	5291	1
20	7855	1
20	8528	1
20	3886	1
20	22185	1
20	17011	1
20	48720	1
20	413	1
20	3339	1
20	6273	1
20	914	1
20	36698	1
20	1506	1
20	5	1
20	1753	1
20	23467	1
20	2272	1
20	9785	1
20	5162	1
20	3197	1
20	11521	1
20	857	1
20	3765	1
20	4169	1
20	13976	1
20	1348	1
20	1502	1
20	1032	1
20	35	1
20	8930	1
20	691	1
20	4355	1
20	2854	1
20	5522	1
20	2279	1
20	3805	1
20	4485	1
20	3194	1
20	6463	1
20	3183	1
20	1895	1
20	1328	1
20	3169	1
20	1075	1
20	10967	1
20	6296	1
20	12184	1
20	4121	1
20	8017	1
20	17222	1
20	1321	1
20	3138	1
20	6055	1
23	6488	1
23	3247	-1
23	1123	1
23	1608	1
23	100958	-1
23	3141	1
23	413	1
23	1503	1
23	2634	1
23	22594	-1
23	1003	-1
23	1532	-1
23	52	-1
23	6276	-1
23	114731	1
23	27405	-1
23	546	-1
23	92816	1
23	33329	1
23	18581	-1
23	175	1
