0,1,5.0,1347122880.78913
0,2,3.0,1289660319.00982
0,6,1.0,1296291723.90977
0,8,1.0,1302322673.83153
0,9,3.0,1302648708.99925
0,14,2.0,1311396960.73491
0,16,2.0,1312392323.30486
0,21,5.0,1324260622.98141
0,23,1.0,1342245532.33295
0,28,8.0,1354068531.08765
0,29,7.0,1289555731.22217
0,37,8.0,1363836906.67669
0,39,5.0,1363836956.77002
0,40,5.0,1363836965.23408
0,5,2.0,1296291457.0187
0,7,3.0,1299447999.63164
0,15,6.0,1311915459.75177
0,24,1.0,1345501525.11591
0,25,-10.0,1346725456.3781
0,33,3.0,1355540573.6376
0,35,-10.0,1356834517.40403
0,36,4.0,1356835679.51083
0,48,6.0,1335645983.31265
0,53,3.0,1296754391.49849
0,238,-10.0,1395126122.1134
0,249,-1.0,1394661127.63692
0,258,-10.0,1439989206.11865
0,281,-5.0,1346967679.76637
0,2275,1.0,1369537022.31132
0,2832,1.0,1365509843.75724
0,3104,1.0,1407402144.16189
0,3119,-2.0,1396407147.20642
0,3617,1.0,1364600790.03823
1,41,5.0,1289370556.80938
1,43,2.0,1296769494.33436
1,46,1.0,1297647973.79808
1,47,1.0,1297878331.02521
1,48,1.0,1298346435.18333
1,49,1.0,1298520615.60603
1,50,1.0,1298929715.26896
1,54,1.0,1305063765.32477
1,55,5.0,1305064392.35608
1,56,1.0,1305917102.03542
1,57,1.0,1305986186.63687
1,58,1.0,1306038669.98591
1,59,2.0,1306115047.86156
1,60,1.0,1306859587.38701
1,61,1.0,1306862212.02685
1,63,3.0,1307039032.73144
1,66,3.0,1307189946.0805
1,68,-10.0,1311132603.09446
1,28,8.0,1347122757.62889
1,70,8.0,1347122785.28266
1,71,8.0,1347122790.34528
1,77,5.0,1359344943.28567
1,42,5.0,1289370622.21473
1,45,8.0,1297570107.33404
1,52,8.0,1301898738.21734
1,53,2.0,1301898759.93158
1,72,8.0,1347122796.10978
1,73,8.0,1347122805.28953
1,74,3.0,1347122821.45838
1,75,5.0,1347122835.5166
1,79,8.0,1427727594.65585
1,29,7.0,1289555871.04233
1,141,2.0,1292823727.667
1,250,3.0,1398339622.6926
1,614,2.0,1307079072.36748
1,1442,1.0,1297807903.35418
1,3122,3.0,1406129874.04564
1,5643,1.0,1374375181.35121
5,71,1.0,1296291483.02942
5,48,1.0,1298128067.61391
5,1442,1.0,1298146050.01677
5,41,1.0,1298169867.27033
5,1538,1.0,1371509522.09401
5,84,1.0,1302012678.63861
5,1457,1.0,1302534403.24766
6,75,1.0,1293643257.60649
7,503,2.0,1298665394.71677
7,48,1.0,1298874964.12214
8,1776,2.0,1302335098.12836
9,296,2.0,1305671511.38391
9,489,4.0,1307332314.4254
9,1415,4.0,1307332406.63635
9,52,7.0,1306820448.06826
9,1357,6.0,1303809801.62217
14,74,2.0,1307391980.11882
14,264,2.0,1307436992.51598
14,1869,2.0,1307544681.59784
14,2141,2.0,1307691837.56462
14,2613,2.0,1307695327.45359
14,2084,2.0,1308104940.75085
14,1604,2.0,1308385799.07441
14,649,1.0,1310488488.56809
14,1366,1.0,1310572254.97059
14,661,1.0,1310909136.03583
14,2529,3.0,1310919586.85787
14,1629,1.0,1311211458.45813
14,1549,5.0,1311221823.2865
14,640,1.0,1311239141.80587
14,2614,1.0,1311411130.55156
